type,code,name_km,name_en,province_code
ស្រុក,0102,មង្គលបូរី,Mongkol Borei,01
ស្រុក,0103,ភ្នំស្រុក,Phnum Srok,01
ស្រុក,0104,ព្រះនេត្រព្រះ,Preah Netr Preah,01
ស្រុក,0105,អូរជ្រៅ,Ou Chrov,01
ក្រុង,0106,សិរីសោភ័ណ,Serei Saophoan,01
ស្រុក,0107,ថ្មពួក,Thma Puok,01
ស្រុក,0108,ស្វាយចេក,Svay Chek,01
ស្រុក,0109,ម៉ាឡៃ,Malai,01
ក្រុង,0110,ប៉ោយប៉ែត,Paoy Paet,01
ស្រុក,0201,បាណន់,Banan,02
ស្រុក,0202,ថ្មគោល,Thma Koul,02
ក្រុង,0203,បាត់ដំបង,Battambang,02
ស្រុក,0204,បវេល,Bavel,02
ស្រុក,0205,ឯកភ្នំ,Aek Phnum,02
ស្រុក,0206,មោងឫស្សី,Moung Ruessei,02
ស្រុក,0207,រតនមណ្ឌល,Rotonak Mondol,02
ស្រុក,0208,សង្កែ,Sangkae,02
ស្រុក,0209,សំឡូត,Samlout,02
ស្រុក,0210,សំពៅលូន,Sampov Lun,02
ស្រុក,0211,ភ្នំព្រឹក,Phnum Proek,02
ស្រុក,0212,កំរៀង,Kamrieng,02
ស្រុក,0213,គាស់ក្រឡ,Koas Krala,02
ស្រុក,0214,រុក្ខគិរី,Rukh Kiri,02
ស្រុក,0301,បាធាយ,Batheay,03
ស្រុក,0302,ចំការលើ,Chamkar Leu,03
ស្រុក,0303,ជើងព្រៃ,Cheung Prey,03
ក្រុង,0305,កំពង់ចាម,Kampong Cham,03
ស្រុក,0306,កំពង់សៀម,Kampong Siem,03
ស្រុក,0307,កងមាស,Kang Meas,03
ស្រុក,0308,កោះសូទិន,Kaoh Soutin,03
ស្រុក,0313,ព្រៃឈរ,Prey Chhor,03
ស្រុក,0314,ស្រីសន្ធរ,Srei Santhor,03
ស្រុក,0315,ស្ទឹងត្រង់,Stueng Trang,03
ស្រុក,0401,បរិបូណ៌,Baribour,04
ស្រុក,0402,ជលគីរី,Chol Kiri,04
ក្រុង,0403,កំពង់ឆ្នាំង,Kampong Chhnang,04
ស្រុក,0404,កំពង់លែង,Kampong Leaeng,04
ស្រុក,0405,កំពង់ត្រឡាច,Kampong Tralach,04
ស្រុក,0406,រលាប្អៀរ,Rolea Bier,04
ស្រុក,0407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,04
ស្រុក,0408,ទឹកផុស,Tuek Phos,04
ស្រុក,0501,បរសេដ្ឋ,Basedth,05
ក្រុង,0502,ច្បារមន,Chbar Mon,05
ស្រុក,0503,គងពិសី,Kong Pisei,05
ស្រុក,0504,ឱរ៉ាល់,Aoral,05
ស្រុក,0505,ឧដុង្គ,Odongk,05
ស្រុក,0506,ភ្នំស្រួច,Phnum Sruoch,05
ស្រុក,0507,សំរោងទង,Samraong Tong,05
ស្រុក,0508,ថ្ពង,Thpong,05
ស្រុក,0601,បារាយណ៍,Baray,06
ស្រុក,0602,កំពង់ស្វាយ,Kampong Svay,06
ក្រុង,0603,ស្ទឹងសែន,Stueng Saen,06
ស្រុក,0604,ប្រាសាទបល្ល័ង្គ,Prasat Ballangk,06
ស្រុក,0605,ប្រាសាទសំបូរ,Prasat Sambour,06
ស្រុក,0606,សណ្ដាន់,Sandan,06
ស្រុក,0607,សន្ទុក,Santuk,06
ស្រុក,0608,ស្ទោង,Stoung,06
ស្រុក,0609,តាំងគោក,Taing Kouk,06
ស្រុក,0701,អង្គរជ័យ,Angkor Chey,07
ស្រុក,0702,បន្ទាយមាស,Banteay Meas,07
ស្រុក,0703,ឈូក,Chhuk,07
ស្រុក,0704,ជុំគិរី,Chum Kiri,07
ស្រុក,0705,ដងទង់,Dang Tong,07
ស្រុក,0706,កំពង់ត្រាច,Kampong Trach,07
ស្រុក,0707,ទឹកឈូ,Tuek Chhou,07
ក្រុង,0708,កំពត,Kampot,07
ស្រុក,0801,កណ្ដាលស្ទឹង,Kandal Stueng,08
ស្រុក,0802,កៀនស្វាយ,Kien Svay,08
ស្រុក,0803,ខ្សាច់កណ្ដាល,Khsach Kandal,08
ស្រុក,0804,កោះធំ,Kaoh Thum,08
ស្រុក,0805,លើកដែក,Leuk Daek,08
ស្រុក,0806,ល្វាឯម,Lvea Aem,08
ស្រុក,0807,មុខកំពូល,Mukh Kampul,08
ស្រុក,0808,អង្គស្នួល,Angk Snuol,08
ស្រុក,0809,ពញាឮ,Ponhea Lueu,08
ស្រុក,0810,ស្អាង,Sang,08
ក្រុង,0811,តាខ្មៅ,Ta Khmau,08
ស្រុក,0901,បុទុមសាគរ,Botum Sakor,09
ស្រុក,0902,គិរីសាគរ,Kiri Sakor,09
ស្រុក,0903,កោះកុង,Kaoh Kong,09
ក្រុង,0904,ខេមរភូមិន្ទ,Khemara Phoumin,09
ស្រុក,0905,មណ្ឌលសីមា,Mondol Seima,09
ស្រុក,0906,ស្រែ អំបិល,Srae Ambel,09
ស្រុក,0907,ថ្មបាំង,Thma Bang,09
ស្រុក,1001,ឆ្លូង,Chhloung,10
ក្រុង,1002,ក្រចេះ,Kracheh,10
ស្រុក,1003,ព្រែកប្រសព្វ,Prek Prasab,10
ស្រុក,1004,សំបូរ,Sambour,10
ស្រុក,1005,ស្នួល,Snuol,10
ស្រុក,1006,ចិត្របុរី,Chetr Borei,10
ស្រុក,1101,កែវសីមា,Kaev Seima,11
ស្រុក,1102,កោះញែក,Kaoh Nheaek,11
ស្រុក,1103,អូររាំង,Ou Reang,11
ស្រុក,1104,ពេជ្រាដា,Pech Chreada,11
ក្រុង,1105,សែនមនោរម្យ,Saen Monourom,11
ខណ្ឌ,1201,ចំការមន,Chamkar Mon,12
ខណ្ឌ,1202,ដូនពេញ,Doun Penh,12
ខណ្ឌ,1203,៧មករា,Prampir Meakkakra,12
ខណ្ឌ,1204,ទួលគោក,Tuol Kouk,12
ខណ្ឌ,1205,ដង្កោ,Dangkao,12
ខណ្ឌ,1206,មានជ័យ,Mean Chey,12
ខណ្ឌ,1207,ឫស្សីកែវ,Russey Keo,12
ខណ្ឌ,1208,សែនសុខ,Saensokh,12
ខណ្ឌ,1209,ពោធិ៍សែនជ័យ,Pur SenChey,12
ខណ្ឌ,1210,ជ្រោយចង្វារ,Chraoy Chongvar,12
ខណ្ឌ,1211,ព្រែកព្នៅ,Praek Pnov,12
ខណ្ឌ,1212,ច្បារអំពៅ,Chbar Ampov,12
ខណ្ឌ,1213,បឹងកេងកង,Boeng Keng Kang,12
ខណ្ឌ,1214,កំបូល,Kamboul,12
ស្រុក,1301,ជ័យសែន,Chey Saen,13
ស្រុក,1302,ឆែប,Chhaeb,13
ស្រុក,1303,ជាំក្សាន្ដ,Choam Ksant,13
ស្រុក,1304,គូលែន,Kuleaen,13
ស្រុក,1305,រវៀង,Rovieng,13
ស្រុក,1306,សង្គមថ្មី,Sangkum Thmei,13
ស្រុក,1307,ត្បែងមានជ័យ,Tbaeng Mean Chey,13
ក្រុង,1308,ព្រះវិហារ,Preah Vihear,13
ស្រុក,1401,បាភ្នំ,Ba Phnum,14
ស្រុក,1402,កំចាយមារ,Kamchay Mear,14
ស្រុក,1403,កំពង់ត្របែក,Kampong Trabaek,14
ស្រុក,1404,កញ្ជ្រៀច,Kanhchriech,14
ស្រុក,1405,មេសាង,Me Sang,14
ស្រុក,1406,ពាមជរ,Peam Chor,14
ស្រុក,1407,ពាមរក៍,Peam Ro,14
ស្រុក,1408,ពារាំង,Pea Reang,14
ស្រុក,1409,ព្រះស្ដេច,Preah Sdach,14
ក្រុង,1410,ព្រៃវែង,Prey Veng,14
ស្រុក,1411,ពោធិ៍រៀង,Pur Rieng,14
ស្រុក,1412,ស៊ីធរកណ្ដាល,Sithor Kandal,14
ស្រុក,1413,ស្វាយអន្ទរ,Svay Antor,14
ស្រុក,1501,បាកាន,Bakan,15
ស្រុក,1502,កណ្ដៀង,Kandieng,15
ស្រុក,1503,ក្រគរ,Krakor,15
ស្រុក,1504,ភ្នំក្រវ៉ាញ,Phnum Kravanh,15
ក្រុង,1505,ពោធិ៍សាត់,Pursat,15
ស្រុក,1506,វាលវែង,Veal Veaeng,15
ស្រុក,1507,តាលោសែនជ័យ,Ta Lou Senchey,15
ស្រុក,1601,អណ្ដូងមាស,Andoung Meas,16
ក្រុង,1602,បានលុង,Ban Lung,16
ស្រុក,1603,បរកែវ,Bar Kaev,16
ស្រុក,1604,កូនមុំ,Koun Mom,16
ស្រុក,1605,លំផាត់,Lumphat,16
ស្រុក,1606,អូរជុំ,Ou Chum,16
ស្រុក,1607,អូរយ៉ាដាវ,Ou Ya Dav,16
ស្រុក,1608,តាវែង,Ta Veaeng,16
ស្រុក,1609,វើនសៃ,Veun Sai,16
ស្រុក,1701,អង្គរជុំ,Angkor Chum,17
ស្រុក,1702,អង្គរធំ,Angkor Thum,17
ស្រុក,1703,បន្ទាយស្រី,Banteay Srei,17
ស្រុក,1704,ជីក្រែង,Chi Kraeng,17
ស្រុក,1706,ក្រឡាញ់,Kralanh,17
ស្រុក,1707,ពួក,Puok,17
ស្រុក,1709,ប្រាសាទបាគង,Prasat Bakong,17
ក្រុង,1710,សៀមរាប,Siem Reap,17
ស្រុក,1711,សូទ្រនិគម,Soutr Nikom,17
ស្រុក,1712,ស្រីស្នំ,Srei Snam,17
ស្រុក,1713,ស្វាយលើ,Svay Leu,17
ស្រុក,1714,វ៉ារិន,Varin,17
ក្រុង,1801,ព្រះសីហនុ,Preah Sihanouk,18
ស្រុក,1802,ព្រៃនប់,Prey Nob,18
ស្រុក,1803,ស្ទឹងហាវ,Stueng Hav,18
ស្រុក,1804,កំពង់សីលា,Kampong Seila,18
ក្រុង,1805,កោះរ៉ុង,Kaoh Rung,18
ស្រុក,1901,សេសាន,Sesan,19
ស្រុក,1902,សៀមបូក,Siem Bouk,19
ស្រុក,1903,សៀមប៉ាង,Siem Pang,19
ក្រុង,1904,ស្ទឹងត្រែង,Stueng Traeng,19
ស្រុក,1905,ថាឡាបរិវ៉ាត់,Thala Barivat,19
ស្រុក,1906,បុរីអូរស្វាយសែនជ័យ,Borei Ou Svay Senchey,19
ស្រុក,2001,ចន្ទ្រា,Chantrea,20
ស្រុក,2002,កំពង់រោទិ៍,Kampong Rou,20
ស្រុក,2003,រំដួល,Rumduol,20
ស្រុក,2004,រមាសហែក,Romeas Haek,20
ស្រុក,2005,ស្វាយជ្រំ,Svay Chrum,20
ក្រុង,2006,ស្វាយរៀង,Svay Rieng,20
ស្រុក,2007,ស្វាយទាប,Svay Teab,20
ក្រុង,2008,បាវិត,Bavet,20
ស្រុក,2101,អង្គរបូរី,Angkor Borei,21
ស្រុក,2102,បាទី,Bati,21
ស្រុក,2103,បូរីជលសារ,Borei Cholsar,21
ស្រុក,2104,គីរីវង់,Kiri Vong,21
ស្រុក,2105,កោះអណ្ដែត,Kaoh Andaet,21
ស្រុក,2106,ព្រៃកប្បាស,Prey Kabbas,21
ស្រុក,2107,សំរោង,Samraong,21
ក្រុង,2108,ដូនកែវ,Doun Kaev,21
ស្រុក,2109,ត្រាំកក់,Tram Kak,21
ស្រុក,2110,ទ្រាំង,Treang,21
ស្រុក,2201,អន្លង់វែង,Anlong Veaeng,22
ស្រុក,2202,បន្ទាយអំពិល,Banteay Ampil,22
ស្រុក,2203,ចុងកាល់,Chong Kal,22
ក្រុង,2204,សំរោង,Samraong,22
ស្រុក,2205,ត្រពាំងប្រាសាទ,Trapeang Prasat,22
ស្រុក,2301,ដំណាក់ចង្អើរ,Damnak Changaeur,23
ក្រុង,2302,កែប,Kaeb,23
ក្រុង,2401,ប៉ៃលិន,Pailin,24
ស្រុក,2402,សាលាក្រៅ,Sala Krau,24
ស្រុក,2501,តំបែរ,Dambae,25
ស្រុក,2502,ក្រូចឆ្មារ,Krouch Chhmar,25
ស្រុក,2503,មេមត់,Memot,25
ស្រុក,2504,អូររាំងឪ,Ou Reang Ov,25
ស្រុក,2505,ពញាក្រែក,Ponhea Kraek,25
ក្រុង,2506,សួង,Suong,25
ស្រុក,2507,ត្បូងឃ្មុំ,Tboung Khmum,25
