type,code,name_km,name_en
province,1,បន្ទាយមានជ័យ,Banteay Meanchey
province,2,បាត់ដំបង,Battambang
province,3,កំពង់ចាម,Kampong Cham
province,4,កំពង់ឆ្នាំង,Kampong Chhnang
province,5,កំពង់ស្ពឺ,Kampong Speu
province,6,កំពង់ធំ,Kampong Thom
province,7,កំពត,Kampot
province,8,កណ្ដាល,Kandal
province,9,កោះកុង,Koh Kong
province,10,ក្រចេះ,Kratié
province,11,មណ្ឌលគិរី,Mondul Kiri
province,12,រាជធានីភ្នំពេញ,Phnom Penh
province,13,ព្រះវិហារ,Preah Vihear
province,14,ព្រៃវែង,Prey Veng
province,15,ពោធិ៍សាត់,Pursat
province,16,រតនគិរី,Ratanak Kiri
province,17,សៀមរាប,Siemreap
province,18,ព្រះសីហនុ,Preah Sihanouk
province,19,ស្ទឹងត្រែង,Stung Treng
province,20,ស្វាយរៀង,Svay Rieng
province,21,តាកែវ,Takeo
province,22,ឧត្ដរមានជ័យ,Oddar Meanchey
province,23,កែប,Kep
province,24,ប៉ៃលិន,Pailin
province,25,ត្បូងឃ្មុំ,Tboung Khmum